Action,HRID,Product code,Rate Level,Validity from,Validity to,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Update type,Nb pax,Meal plan,Price status,Amount,Currency Code,Unit
A,HC1Q6,MBREAK,RAC,20231026,31122023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,S,1,N,N,3025,JPY,A
A,HC1Q6,MBUFF,RAC,20231026,31122023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,S,1,N,N,3025,JPY,A
A,HC1Q6,MPHB,RAC,20231026,31122023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,S,1,N,N,9680,JPY,A
A,HC1Q6,PACKAI,RAC,20231026,31122023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,S,1,N,N,12705,JPY,A
A,HC1Q6,DMBREA,RAC,20231026,31122023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,S,1,N,N,2586,JPY,A
A,HC1Q6,DMPHB,RAC,20231026,31122023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,S,1,N,N,8276,JPY,A
A,HC1Q6,DPACKA,RAC,20231026,31122023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,S,1,N,N,10863,JPY,A
A,HC1Q6,MBREAK,RAC,20231026,31122023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,S,1,N,N,3025,JPY,A
A,HC1Q6,MBUFF,RAC,20231026,31122023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,S,1,N,N,3025,JPY,A
A,HC1Q6,MPHB,RAC,20231026,31122023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,S,1,N,N,9680,JPY,A
A,HC1Q6,PACKAI,RAC,20231026,31122023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,S,1,N,N,12705,JPY,A
A,HC1Q6,DMBREA,RAC,20231026,31122023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,S,1,N,N,2586,JPY,A
A,HC1Q6,DMPHB,RAC,20231026,31122023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,S,1,N,N,8276,JPY,A
A,HC1Q6,DPACKA,RAC,20231026,31122023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,S,1,N,N,10863,JPY,A
