code;description;type;family;a;b
DEAFSI;Room for hearing impaired guests;HANDI;R;false;false
DISABL;Comply w\/​ Americ. Disability Act;HANDI;H;false;false
DOORS;Bathroom doors 32 inches wide;HANDI;H;false;false
HANDIC;Reduced mobility facilities;HANDI;H;false;false
LEVEL;Ramp access;HANDI;H;false;false
WHEEL;Wheelchair access;HANDI;H;false;false
EQBATH;Accessible bathroom;DISABR;R;false;false
KNOCK;Knock light for hearing impaired;DISABR;R;false;false
PHON4;Phone light for hearing impaired;DISABR;R;false;false
VISUAA;Vis. alarm for hearing impaired;DISABR;R;false;false
AMBREA;ALL PLUS Brkfst Asia;ADBREA;B;false;false
DMBREA;ACCORPLUS Breakfast;ADBREA;B;false;false
MBKCHD;Children Breakfast;ADBREA;H;false;false
MBKEXP;Express Breakfast;ADBREA;H;false;false
MBKGL;Morning Breakfast Leisure Groups;ADBREA;H;false;false
MBKSEA;Special Breakfast Rate;ADBREA;H;false;false
MBKWEB;Buffet Breakfast;ADBREA;H;false;false
MBREAL;NOT USE;ADBREA;B;false;false
MBRINC;Breakfast included in the price;ADBREA;H;false;false
MBUFF;Buffet breakfast;ADBREA;H;false;false
SUPHB;Half Board;ADBREA;S;false;false
SUPHBD;Light cuisine half board supp;ADBREA;S;false;false
SUPPC;Full Board;ADBREA;S;false;false
SUPPCD;Healthy Full Board;ADBREA;S;false;false
ERCHK2;Early Check In - 2 Hours;ADCHEC;H;false;false
ERCHK4;Early Check In 4 Hours;ADCHEC;H;false;false
ERYCHK;Early Check In;ADCHEC;H;false;false
LACHK2;LATE CHECK OUT - 2 HOURS;ADCHEC;H;false;false
LACHK4;LATE CHECK OUT - 4 HOURS;ADCHEC;H;false;false
LATCHK;Late Check Out;ADCHEC;H;false;false
AIDRNK;All Inclusive Drinks;ADMP;Z;false;false
AIMP01;All Inclusive;ADMP;Z;false;false
AMPFB;ALL PLUS Full Board Asia;ADMP;H;false;false
AMPHB;ALL PLUS Half Board Asia;ADMP;H;false;false
APACKA;ALL PLUS Package All Inclusive;ADMP;H;false;false
BBMP01;Bed and Breakfast;ADMP;Z;false;false
DMPFB;ACCORPLUS Full Board;ADMP;H;false;false
DMPHB;ACCORPLUS Half Board;ADMP;H;false;false
DPACKA;ACCORPLUS All inclusive;ADMP;H;false;false
FBMP01;Full Board;ADMP;Z;false;false
HBMP01;Half Board;ADMP;Z;false;false
MDIN;Dinner;ADMP;H;false;false
MPAL;All Inclusive;ADMP;H;false;false
MPFB;Full Board;ADMP;H;false;false
MPHB;Half Board;ADMP;H;false;false
PACKAI;All inclusive Package;ADMP;H;false;false
MENAD1;Restaurant Menu;ADMENU;H;false;false
MENCH1;Children\s Restaurant Menu;ADMENU;H;false;false
MENCH2;Children\s Restaurant menu;ADMENU;H;false;false
MENGL1;Classic menu - Leisure Group;ADMENU;H;false;false
MENGL2;2 course menu - Leisure Group;ADMENU;H;false;false
MENGL3;3 course menu - Leisure Group;ADMENU;H;false;false
MENGL4;4 course menu - Leisure Group;ADMENU;H;false;false
FLWS;Flowers;ADUNIQ;R;false;false
FRTBKT;Fruit basket;ADUNIQ;R;false;false
RECRCL;ALL Resort - Credit for Classic;ADUNIQ;H;false;false
RECRGD;ALL Resort - Credit for Gold;ADUNIQ;H;false;false
RECRPL;ALL Resort  Credit for Platinum;ADUNIQ;H;false;false
RECRSI;ALL Resort - Credit for Silver;ADUNIQ;H;false;false
REDWIN;Red Wine;ADUNIQ;R;false;false
ROSWIN;Ros\u00E9 Wine;ADUNIQ;R;false;false
