Action,HRID,Tars Key,Rate Level,Product,External System Code,External Code,Nb Pax,Tars Key Type,Declared in Systems,Booking Limit
A,HC1I6,,,R3CZ,1A,D4S,1,,No,No
A,HC1I6,,,R3CZ,1A,D4S,2,,No,No
A,HC1I6,,,R3CZ,1A,D4S,3,,No,No
A,HC1I6,,,R3CZ,1A,D4S,4,,No,No
A,HC1I6,,,R3CZ,1A,D4S,5,,No,No
A,HC1I6,,,R3CZ,AA,D4S,1,,No,No
A,HC1I6,,,R3CZ,AA,D4S,2,,No,No
A,HC1I6,,,R3CZ,AA,D4S,3,,No,No
A,HC1I6,,,R3CZ,AA,D4S,4,,No,No
A,HC1I6,,,R3CZ,AA,D4S,5,,No,No
A,HC1I6,,,R3CZ,UA,D4S,1,,No,No
A,HC1I6,,,R3CZ,UA,D4S,2,,No,No
A,HC1I6,,,R3CZ,UA,D4S,3,,No,No
A,HC1I6,,,R3CZ,UA,D4S,4,,No,No
A,HC1I6,,,R3CZ,UA,D4S,5,,No,No
A,HC1I6,,,R3CZ,TW,D4S,1,,No,No
A,HC1I6,,,R3CZ,TW,D4S,2,,No,No
A,HC1I6,,,R3CZ,TW,D4S,3,,No,No
A,HC1I6,,,R3CZ,TW,D4S,4,,No,No
A,HC1I6,,,R3CZ,TW,D4S,5,,No,No
A,HC1I6,,,R3CZ,WB,D4S,1,,No,No
A,HC1I6,,,R3CZ,WB,D4S,2,,No,No
A,HC1I6,,,R3CZ,WB,D4S,3,,No,No
A,HC1I6,,,R3CZ,WB,D4S,4,,No,No
A,HC1I6,,,R3CZ,WB,D4S,5,,No,No
A,HC1I6,,,R3CZ,DQ,R3CZ,1,,No,No
A,HC1I6,,,R3CZ,DQ,R3CZ,2,,No,No
A,HC1I6,,,R3CZ,DQ,R3CZ,3,,No,No
A,HC1I6,,,R3CZ,DQ,R3CZ,4,,No,No
A,HC1I6,,,R3CZ,DQ,R3CZ,5,,No,No
A,HC1I6,,,R3CZ,HO,R3CZ,1,,No,No
A,HC1I6,,,R3CZ,HO,R3CZ,2,,No,No
A,HC1I6,,,R3CZ,HO,R3CZ,3,,No,No
A,HC1I6,,,R3CZ,HO,R3CZ,4,,No,No
A,HC1I6,,,R3CZ,HO,R3CZ,5,,No,No
A,HC1I6,,,R3CZ,TE,R3CZ,1,,No,No
