code;description;type;family;a;b
DEAFSI;Room for hearing impaired guests;HANDI;R;False;False
DISABL;Comply w\/​ Americ. Disability Act;HANDI;H;False;False
DOORS;Bathroom doors 32 inches wide;HANDI;H;False;False
HANDIC;Reduced mobility facilities;HANDI;H;False;False
LEVEL;Ramp access;HANDI;H;False;False
WHEEL;Wheelchair access;HANDI;H;False;False
EQBATH;Accessible bathroom;DISABR;R;False;False
KNOCK;Knock light for hearing impaired;DISABR;R;False;False
PHON4;Phone light for hearing impaired;DISABR;R;False;False
VISUAA;Vis. alarm for hearing impaired;DISABR;R;False;False
AMBREA;ALL PLUS Brkfst Asia;ADBREA;B;False;False
DMBREA;ACCORPLUS Breakfast;ADBREA;B;False;False
MBKCHD;Children Breakfast;ADBREA;H;False;False
MBKEXP;Express Breakfast;ADBREA;H;False;False
MBKGL;Morning Breakfast Leisure Groups;ADBREA;H;False;False
MBKSEA;Special Breakfast Rate;ADBREA;H;False;False
MBKWEB;Buffet Breakfast;ADBREA;H;False;False
MBREAL;NOT USE;ADBREA;B;False;False
MBRINC;Breakfast included in the price;ADBREA;H;False;False
MBUFF;Buffet breakfast;ADBREA;H;False;False
SUPHB;Half Board;ADBREA;S;False;False
SUPHBD;Light cuisine half board supp;ADBREA;S;False;False
SUPPC;Full Board;ADBREA;S;False;False
SUPPCD;Healthy Full Board;ADBREA;S;False;False
ERCHK2;Early Check In - 2 Hours;ADCHEC;H;False;False
ERCHK4;Early Check In 4 Hours;ADCHEC;H;False;False
ERYCHK;Early Check In;ADCHEC;H;False;False
LACHK2;LATE CHECK OUT - 2 HOURS;ADCHEC;H;False;False
LACHK4;LATE CHECK OUT - 4 HOURS;ADCHEC;H;False;False
LATCHK;Late Check Out;ADCHEC;H;False;False
AIDRNK;All Inclusive Drinks;ADMP;Z;False;False
AIMP01;All Inclusive;ADMP;Z;False;False
AMPFB;ALL PLUS Full Board Asia;ADMP;H;False;False
AMPHB;ALL PLUS Half Board Asia;ADMP;H;False;False
APACKA;ALL PLUS Package All Inclusive;ADMP;H;False;False
BBMP01;Bed and Breakfast;ADMP;Z;False;False
DMPFB;ACCORPLUS Full Board;ADMP;H;False;False
DMPHB;ACCORPLUS Half Board;ADMP;H;False;False
DPACKA;ACCORPLUS All inclusive;ADMP;H;False;False
FBMP01;Full Board;ADMP;Z;False;False
HBMP01;Half Board;ADMP;Z;False;False
MDIN;Dinner;ADMP;H;False;False
MPAL;All Inclusive;ADMP;H;False;False
MPFB;Full Board;ADMP;H;False;False
MPHB;Half Board;ADMP;H;False;False
PACKAI;All inclusive Package;ADMP;H;False;False
MENAD1;Restaurant Menu;ADMENU;H;False;False
MENCH1;Children\s Restaurant Menu;ADMENU;H;False;False
MENCH2;Children\s Restaurant menu;ADMENU;H;False;False
MENGL1;Classic menu - Leisure Group;ADMENU;H;False;False
MENGL2;2 course menu - Leisure Group;ADMENU;H;False;False
MENGL3;3 course menu - Leisure Group;ADMENU;H;False;False
MENGL4;4 course menu - Leisure Group;ADMENU;H;False;False
FLWS;Flowers;ADUNIQ;R;False;False
FRTBKT;Fruit basket;ADUNIQ;R;False;False
RECRCL;ALL Resort - Credit for Classic;ADUNIQ;H;False;False
RECRGD;ALL Resort - Credit for Gold;ADUNIQ;H;False;False
RECRPL;ALL Resort  Credit for Platinum;ADUNIQ;H;False;False
RECRSI;ALL Resort - Credit for Silver;ADUNIQ;H;False;False
REDWIN;Red Wine;ADUNIQ;R;False;False
ROSWIN;Ros\u00E9 Wine;ADUNIQ;R;False;False
